date,headline_link,headline_title,link,page,scraped_at,title
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/dangdut/mantan-manager-lucinta-luna-isa-zega-babak-belur-dipukul-orang-tak-dikenal-0e576b.html,10.0,2020-11-22 21:41:34.305538,"Mantan Manager Lucinta Luna, Isa Zega Babak Belur Dipukul Orang Tak Dikenal"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/korea/agensi-bantah-lee-do-hyun-pacaran-ungkap-hanya-seorang-kenalan-1478db.html,10.0,2020-11-22 21:41:34.403082,"Agensi Bantah Lee Do Hyun Pacaran, Ungkap Hanya Seorang Kenalan"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/cantiknya-jasmine-abeng-putri-sulung-ririn-ekawati-dari-mantan-suami-pertama-yang-jarang-tersorot.html,10.0,2020-11-22 21:41:34.492289,"Cantiknya Jasmine Abeng, Putri Sulung Ririn Ekawati dari Mantan Suami Pertama yang Jarang Tersorot"
"Rabu, 04 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/pesona-ririn-ekawati-yang-bikin-ibnu-jamil-jatuh-cinta-hot-mom-cantik--glowing-abis.html,10.0,2020-11-22 21:41:34.585276,"Pesona Ririn Ekawati yang Bikin Ibnu Jamil Jatuh Cinta, Hot Mom Cantik & Glowing Abis!"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/salting-dan-malu-malu-ibnu-jamil-akui-sudah-lama-falling-in-love-ke-ririn-ekawati-96432a.html,10.0,2020-11-22 21:41:34.676865,"Salting dan Malu-Malu, Ibnu Jamil Akui Sudah Lama 'Falling in Love' ke Ririn Ekawati"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/setelah-diruqiyah-indadari-temukan-hewan-misterius-di-kamarnya-dd4fa3.html,10.0,2020-11-22 21:41:34.787824,"Setelah Diruqiyah, Indadari Temukan Hewan Misterius di Kamarnya"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/chintami-atmanegara-dipanggil-pihak-kepoilsian-terkait-dugaan-penganiayaan-yang-dilakukan-putranya-afe53d.html,10.0,2020-11-22 21:41:34.874646,Chintami Atmanegara Dipanggil Pihak Kepoilsian Terkait Dugaan Penganiayaan yang Dilakukan Putranya
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/ditanya-soal-hubungannya-dengan-ririn-ekawati-ibnu-jamil-orang-yang-spesial-buat-saya-83b846.html,10.0,2020-11-22 21:41:34.967708,"Ditanya Soal Hubungannya dengan Ririn Ekawati, Ibnu Jamil: Orang yang Spesial Buat Saya"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/foto/berita-foto/indonesia/terungkap-potret-jadul-christian-sugiono-ada-foto-telanjang-dada-cuma-pakai-boxer-yang-bikin-panas-dingin.html,10.0,2020-11-22 21:41:35.057164,"Terungkap Potret Jadul Christian Sugiono, Ada Foto Telanjang Dada Cuma Pakai Boxer yang Bikin Panas Dingin"
"Selasa, 03 November 2020",,,https://www.kapanlagi.com/showbiz/selebriti/momen-tak-mengenakkan-ketika-lutfi-agizal-kenalkan-pacar-baru-pada-salshadilla-juwita-dan-iis-dahlia-aca6f0.html,10.0,2020-11-22 21:41:35.145392,Momen Tak Mengenakkan Ketika Lutfi Agizal Kenalkan Pacar Baru Pada Salshadilla Juwita dan Iis Dahlia
