link,scraped_at,summary,timestamp,title,type
https://dunia.tempo.co/read/1404571/manuver-donald-trump-usai-kalah-pemilu-as,2020-11-22 21:58:33.028899,Donald Trump mengeluarkan sejumlah kebijakan strategis seperti memecat Menteri Pertahanan hingga menyetujui penjualan jet tempur F-35,12 November 2020 08:15 WIB,Manuver Donald Trump Usai Kalah Pemilu AS,1bulan
https://nasional.tempo.co/read/1402808/rizieq-shihab-dikabarkan-sering-sebut-jokowi-presiden-ilegal,2020-11-22 21:58:33.103715,"Agus mengatakan banyak pihak dari Arab Saudi yang mempertanyakan sikap Rizieq Shihab tersebut, yang dinilai janggal.",6 November 2020 10:10 WIB,Rizieq Shihab Dikabarkan Sering Sebut Jokowi Presiden Ilegal,1bulan
https://bisnis.tempo.co/read/1400842/1-november-bpjs-kesehatan-akan-bekukan-kepesertaan-jika-data-ini-belum-terisi,2020-11-22 21:58:33.181397,BPJS Kesehatan akan melakukan pemeriksaan kelengkapan data dari peserta Jaminan Kesehatan Nasional-Kartu Indonesia Sehat atau JKN-KIS.,30 Oktober 2020 18:00 WIB,"1 November, BPJS Kesehatan Akan Bekukan Kepesertaan Jika Data Ini Belum Terisi",1bulan
https://seleb.tempo.co/read/1403366/joe-biden-menang-michelle-obama-saya-yakin-pulihkan-martabat-gedung-putih,2020-11-22 21:58:33.260013,Michelle Obama meluapkan kebahagiaannya setelah mengetahui Joe Biden menang. Ini pesan dari Michelle Obama.,8 November 2020 11:16 WIB,"Joe Biden Menang, Michelle Obama : Saya Yakin Pulihkan Martabat Gedung Putih",1bulan
https://nasional.tempo.co/read/1323874/ibunda-presiden-jokowi-meninggal,2020-11-22 21:58:37.195187,Ibunda Presiden Jokowi meninggal,25 Maret 2020 17:07 WIB,Ibunda Presiden Jokowi Meninggal,1tahun
https://nasional.tempo.co/read/1314361/jokowi-sebut-2-wni-positif-virus-corona-di-indonesia,2020-11-22 21:58:37.279886,Jokowi mengakui bahwa sudah ada kasus positif virus Corona di Indonesia,2 Maret 2020 11:27 WIB,Jokowi Sebut 2 WNI Positif Virus Corona di Indonesia,1tahun
https://bisnis.tempo.co/read/1383811/59-negara-tutup-pintu-untuk-warga-indonesia-ini-sikap-pemerintah-ri,2020-11-22 21:58:37.349904,Sedikitnya 59 negara melarang warga Indonesia masuk ke negaranya. Hal ini berkaitan dengan tingginya angka kasus positif Covid-19 di Tanah Air.,8 September 2020 07:46 WIB,"59 Negara Tutup Pintu untuk Warga Indonesia, Ini Sikap Pemerintah RI",1tahun
https://nasional.tempo.co/read/1300677/breaking-news-yasonna-copot-dirjen-imigrasi-ronny-sompie,2020-11-22 21:58:37.421010,Menteri Hukum dan HAM Yasonna Laoly mencopot Direktur Jenderal Imigrasi Ronny Sompie dari posisinya.,28 Januari 2020 16:19 WIB,Breaking News: Yasonna Copot Dirjen Imigrasi Ronny Sompie,1tahun
https://seleb.tempo.co/read/1281031/disudutkan-uas-ini-jawaban-mantan-istri,2020-11-22 21:58:37.500169,"Mantan istri UAS, Mellyana Juniarti membalas klarifikasi bernada menyudutkan yang dilakukan Abdul Somad dengan menyatakan akan kuat bersama putranya.",7 Desember 2019 07:49 WIB,"Disudutkan UAS, Ini Jawaban Mantan Istri",1tahun
https://dunia.tempo.co/read/1315737/akibat-virus-corona-arab-saudi-tunda-umrah,2020-11-22 21:58:37.587176,Berkumpulnya jutaan jemaat saat ibadah umrah dikhawatirkan akan mempercepat penyebaran virus Corona di Arab Saudi.,5 Maret 2020 10:11 WIB,"Akibat Virus Corona, Arab Saudi Tunda Umrah",1tahun
https://nasional.tempo.co/read/1329820/update-covid-19-9-april-3-293-kasus-252-sembuh-280-meninggal,2020-11-22 21:58:37.663501,"Update Covid-19 9 April: 3.293 Kasus, 252 Sembuh, 280 Meninggal",9 April 2020 15:36 WIB,"Update Covid-19 9 April: 3.293 Kasus, 252 Sembuh, 280 Meninggal",1tahun
https://nasional.tempo.co/read/1320535/bnpb-perpanjang-masa-darurat-corona-sampai-29-mei-2020,2020-11-22 21:58:37.735273,BNPB memperpanjang status keadaan tertentu darurat bencana wabah akibat virus corona.,17 Maret 2020 11:45 WIB,BNPB Perpanjang Masa Darurat Corona Sampai 29 Mei 2020,1tahun
https://nasional.tempo.co/read/1323441/update-corona-24-maret-686-kasus-30-sembuh-55-meninggal,2020-11-22 21:58:37.807897,"Update Corona 24 Maret: 686 Kasus, 30 Sembuh, 55 Meninggal",24 Maret 2020 15:39 WIB,"Update Corona 24 Maret: 686 Kasus, 30 Sembuh, 55 Meninggal",1tahun
https://nasional.tempo.co/read/1304513/pengakuan-wni-eks-isis-gue-gabung-isis-untuk-better-life-tapi,2020-11-22 21:58:37.882053,Seorang WNI eks ISIS mengatakan bergabung dengan ISIS agar mendapat hidup lebih baik. Tapi teranyata ia merasa ditipu.,7 Februari 2020 08:02 WIB,"Pengakuan WNI Eks ISIS: Gue Gabung ISIS untuk Better Life, Tapi..",1tahun
