category,link,page,summary,timestamp,title,type
TRAVEL,https://www.liputan6.com/lifestyle/read/4414625/cerita-akhir-pekan-mengatasi-wisatawan-lupa-diri-saat-liburan-di-masa-pandemi-corona-covid-19,2.0,Banyak wisatawan yang tak menerapkan protokol kesehatan saat berwisata.,2020-11-22T10:02:00+07:00,Cerita Akhir Pekan: Mengatasi Wisatawan Lupa Diri Saat Liburan di Masa Pandemi Corona Covi...,hari-ini
BISNIS,https://www.liputan6.com/bisnis/read/4414490/pengerjaan-gedung-parkir-taman-ismail-marzuki-capai-98-persen,3.0,Pengerjaan proyek Revitalisasi Taman Ismail Marzuki (TIM) terus mengalami kemajuan,2020-11-21T20:30:20+07:00,Pengerjaan Gedung Parkir Taman Ismail Marzuki Capai 98 Persen,hari-ini
SURABAYA,https://surabaya.liputan6.com/read/4414503/terima-tiga-alat-penanganan-covid-19-dari-itts-risma-urus-hak-paten,3.0,"Wali Kota Surabaya Risma menuturkan, pihaknya urus hak kekayaan intelektual tiga alat penanganan COVID-19 itu agar tidak terjadi pencurian hak kekayaan intelektual.",2020-11-22T00:00:21+07:00,"Terima Tiga Alat Penanganan COVID-19 dari ITTS, Risma Urus Hak Paten",hari-ini
HISTORI,https://www.liputan6.com/global/read/4413864/22-11-1986-mike-tyson-jadi-juara-tinju-kelas-berat-termuda-dalam-sejarah,3.0,"Pada 22 November 1986, Mike Tyson yang berusia 20 tahun mengalahkan Trevor Berbick yang berusia 33 tahun hanya dalam lima menit dan 35 detik untuk menjadi pemegang gelar termuda yang pernah ada.",2020-11-22T06:02:01+07:00,22-11-1986: Mike Tyson Jadi Juara Tinju Kelas Berat Termuda dalam Sejarah,hari-ini
LIGA INGGRIS,https://www.liputan6.com/bola/read/4414524/hasil-liga-inggris-newcastle-vs-chelsea-curi-poin-the-blues-naik-ke-puncak-klasemen,3.0,Chelsea taklukkan Newcastle United 2-0 pada laga pekan ke-9 Liga Inggris.Posisi The Blues untuk sementara naik ke puncak klasemen.,2020-11-21T21:48:56+07:00,"Hasil Liga Inggris Newcastle vs Chelsea: Curi Poin, The Blues Naik ke Puncak Klasemen",hari-ini
INTERNASIONAL,https://www.liputan6.com/global/read/4414652/negara-g20-berkomitmen-mendanai-distribusi-vaksin-covid-19,3.0,Para pemimpin kelompok negara 20 ekonomi terbesar dunia atau G20 pada Minggu 22 November 2020 akan mengumumkan komitmen untuk mendanai distribusi vaksin COVID-19.,2020-11-22T10:00:00+07:00,Negara G20 Berkomitmen Mendanai Distribusi Vaksin COVID-19,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414644/psbb-transisi-jakarta-berakhir-minggu-22-november-bakal-kembali-diperpanjang,3.0,"Penerapan PSBB transisi DKI Jakarta berakhir pada hari ini, Minggu 22 November 2020.",2020-11-22T09:36:40+07:00,"PSBB Transisi Jakarta Berakhir Minggu 22 November, Bakal Kembali Diperpanjang?",hari-ini
LIGA INTERNASIONAL,https://www.liputan6.com/bola/read/4414610/jadwal-liga-champions-duel-penentuan-real-madrid-vs-inter-milan-26-november,3.0,Jeda internasional rampung digelar tengah pekan lalu. Liga-liga top Eropa termasuk Liga Champions akan kembali dipertandingkan.,2020-11-22T12:00:00+07:00,Jadwal Liga Champions : Duel Penentuan Real Madrid vs Inter Milan 26 November,hari-ini
PERISTIWA,https://www.liputan6.com/news/read/4414487/dibantu-alat-berat-bpbd-buka-jalur-tertutup-longsor-di-cianjur,3.0,"BPBD Cianjur mengatakan puluhan petugas gabungan, dibantu alat berat dan lima unit dum truk, berupaya maksimal untuk menyingkirkan material longsor.",2020-11-21T20:50:42+07:00,"Dibantu Alat Berat, BPBD Buka Jalur Tertutup Longsor di Cianjur",hari-ini
PREDIKSI,https://www.liputan6.com/bola/read/4414244/prediksi-inter-milan-vs-torino-tekad-bangkit-i-nerazzurri-di-liga-italia,3.0,"Gagal berjaya pada empat laga terakhir di seluruh kompetisi, moril Inter Milan dalam kondisi terpuruk jelang laga Liga Italia melawan Torino.",2020-11-22T08:00:24+07:00,Prediksi Inter Milan vs Torino: Tekad Bangkit I Nerazzurri di Liga Italia,hari-ini
